lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.131451
# Diagonal elements of inverse mass matrix:
# 3.61301, 0.826118
-3.86441,0.999806,0.131451,4,15,0,3.95338,0.882539,0.611436,1.84308,0.833616,0.285914,1,1,1,1,1,1,0,1,1,0,1,1
-5.18225,0.998083,0.131451,5,31,0,5.84526,0.0845422,0.185008,1.20323,1.02084,0.587404,0,0,1,0,1,0,0,1,0,0,1,1
-4.79608,1,0.131451,5,31,0,5.73367,0.7893,0.125514,1.13373,0.572248,0.758671,1,0,1,0,1,1,1,0,0,0,0,1
-4.83789,0.99682,0.131451,4,31,0,6.71966,0.955291,0.537236,1.71127,1.2522,1.31701,1,1,1,0,1,0,1,0,1,0,1,1
-3.99296,0.999916,0.131451,5,31,0,5.59955,0.251197,0.253852,1.28898,0.559024,1.29865,0,0,1,0,1,0,1,0,1,1,1,1
-3.48423,0.999965,0.131451,4,31,0,4.3961,0.706497,1.7671,5.85386,-0.0786965,0.328514,1,0,0,1,1,1,1,1,0,1,1,1
-3.20625,0.999867,0.131451,4,15,0,3.87757,0.221635,0.832022,2.29796,0.69377,0.773478,1,0,1,0,0,1,1,1,1,0,0,1
-4.53559,0.99504,0.131451,4,23,0,4.98129,0.0464672,0.991942,2.69647,-0.295896,0.553083,0,0,1,1,0,0,1,1,1,1,1,1
-4.36821,0.999418,0.131451,4,15,0,5.02392,0.0850855,1.68354,5.38456,1.43555,0.694826,0,1,1,1,1,1,0,1,1,0,0,1
-3.72323,0.999847,0.131451,4,31,0,4.64919,0.865697,0.63856,1.89375,0.4235,0.153961,1,0,1,0,0,1,0,0,1,0,0,1
-2.99638,0.998504,0.131451,3,15,0,4.61143,0.696651,0.85206,2.34447,-0.718581,-0.456251,1,1,0,1,1,1,1,1,0,0,1,1
-6.6174,0.985073,0.131451,4,31,0,7.61747,0.979195,0.166796,1.18151,0.0794409,0.522143,0,1,0,1,1,1,1,1,1,1,1,1
-5.39573,0.99983,0.131451,4,15,0,7.68178,0.924388,0.164899,1.17927,0.251479,0.855027,0,1,0,0,1,1,0,1,0,0,1,0
-6.29498,0.999429,0.131451,4,15,0,6.78092,0.932078,0.0732685,1.07602,0.463828,0.341925,1,1,0,0,1,1,1,1,1,0,0,1
-6.05259,0.999639,0.131451,5,31,0,7.39334,0.146555,0.0471837,1.04831,0.377115,1.30784,1,1,0,1,0,1,1,1,0,1,1,0
-6.90712,0.998648,0.131451,3,7,0,6.97025,0.0907658,0.0304067,1.03087,-0.330025,0.602312,1,0,1,0,0,1,0,0,0,1,1,1
-9.19977,0.993865,0.131451,4,31,0,12.0365,0.00134837,0.191615,1.2112,-0.507221,0.226529,1,1,1,0,0,1,1,1,1,0,1,1
-7.87254,0.999982,0.131451,3,11,0,9.93007,0.00414074,0.238311,1.2691,0.155131,-0.0703428,0,0,1,1,0,0,1,1,0,1,0,0
-6.29514,1,0.131451,4,15,0,8.03919,0.0217955,0.222375,1.24904,1.22458,0.76738,0,1,1,0,0,1,0,0,1,0,0,1
