lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.157107
# Diagonal elements of inverse mass matrix:
# 3.52485, 1.38287
-3.14587,0.992047,0.157107,3,7,0,4.01578,0.242093,0.828613,2.29014,0.50474,0.45995,0,0,1,1,0,0,1,0,1,1,1,1
-3.21055,0.999834,0.157107,4,15,0,3.35149,0.242901,1.32824,3.77438,0.485708,0.302692,1,0,1,0,0,0,1,1,1,0,1,1
-3.63428,0.994731,0.157107,5,31,0,4.30808,0.160409,1.48903,4.43277,0.220178,0.674312,0,1,0,0,1,1,0,0,0,1,0,0
-3.10512,0.999737,0.157107,3,7,0,3.67755,0.255377,0.842474,2.32211,0.829391,0.752478,0,1,1,1,1,1,1,1,1,0,0,1
-2.97154,0.999401,0.157107,4,15,0,3.42399,0.655464,0.757495,2.13293,0.531419,0.823532,0,1,1,0,1,0,1,0,0,0,1,0
-3.2049,0.99797,0.157107,4,15,0,3.37499,0.643421,0.502908,1.65352,0.483879,0.65523,0,1,1,0,0,0,1,1,1,0,0,1
-3.52153,0.996795,0.157107,3,15,0,4.26798,0.402524,0.324707,1.38363,1.01106,0.8387,1,1,1,1,0,1,0,1,1,1,1,1
-3.25556,1,0.157107,3,7,0,3.58683,0.393108,0.447868,1.56497,0.920866,1.15858,0,1,1,0,1,0,0,1,0,0,0,1
-2.94707,0.99921,0.157107,3,15,0,3.56545,0.647266,1.23393,3.43471,0.791184,0.844729,0,0,1,1,1,1,0,0,1,0,1,1
-3.41534,0.992588,0.157107,3,15,0,3.80679,0.264907,0.473157,1.60505,0.133134,0.196617,0,1,1,1,0,1,1,1,1,0,0,0
-3.09917,0.999944,0.157107,4,15,0,3.4669,0.313808,0.647059,1.90992,0.591976,0.983271,1,1,1,0,0,1,0,1,0,1,1,1
-3.16338,0.999839,0.157107,3,7,0,3.19811,0.320874,0.573214,1.77396,0.831805,0.128203,1,0,1,0,0,1,0,0,1,1,0,0
-2.89688,0.999989,0.157107,3,15,0,3.19154,0.386296,0.810522,2.24908,1.15203,0.526551,0,1,1,1,1,0,1,0,1,1,1,0
-3.48666,0.992856,0.157107,3,11,0,4.34139,0.153399,1.16693,3.21212,1.22335,-0.0474473,1,1,1,0,1,0,0,0,1,1,1,1
-2.94558,0.998989,0.157107,3,11,0,3.75319,0.34831,0.798554,2.22233,0.600555,0.165692,0,1,1,1,0,1,0,1,1,1,0,1
-3.0377,0.997738,0.157107,3,15,0,3.47717,0.720948,0.879297,2.40921,0.16791,0.0819298,0,1,1,1,1,1,1,1,1,0,1,0
-3.25571,0.998367,0.157107,3,7,0,3.40911,0.797623,0.888111,2.43053,1.26992,0.386134,0,1,1,0,1,1,0,1,1,0,1,1
-3.01799,0.998165,0.157107,4,31,0,3.78967,0.360402,1.38225,3.98387,0.131958,0.462754,0,0,1,1,0,0,1,0,1,1,0,1
-2.85907,0.997853,0.157107,4,15,0,3.2976,0.611931,1.04959,2.85648,-0.0911311,0.641244,0,1,0,0,1,1,0,0,0,0,1,1
-2.84427,0.997422,0.157107,4,15,0,3.25599,0.586155,0.907198,2.47737,0.770885,1.24299,0,1,1,0,0,1,1,1,1,0,1,1
-3.12948,0.986225,0.157107,2,7,0,4.38606,0.518212,0.496834,1.64351,0.0440601,0.685382,1,0,1,0,1,1,0,1,1,1,1,1
-3.47306,0.996118,0.157107,3,11,0,4.18056,0.258347,1.68861,5.41197,0.22384,-0.596855,0,1,1,1,0,1,1,0,0,1,1,1
-3.69473,0.999944,0.157107,4,15,0,4.18109,0.181579,0.467672,1.59627,-0.440408,0.596992,1,0,1,1,1,0,0,0,0,1,1,1
-3.49716,0.999404,0.157107,4,31,0,4.20073,0.853129,0.965961,2.62731,0.854433,0.30538,0,0,0,1,0,1,0,1,1,0,0,1
-3.56181,0.999736,0.157107,3,7,0,3.60621,0.860816,0.858629,2.35992,-0.161853,0.526568,1,0,0,1,1,1,0,0,0,1,1,1
-3.01452,0.999843,0.157107,4,15,0,3.76284,0.531202,0.586672,1.798,0.849815,0.575944,0,1,1,1,0,1,0,0,1,0,0,1
-3.4758,0.995995,0.157107,3,11,0,3.89171,0.404152,0.341341,1.40683,0.825733,0.614029,0,1,0,0,1,1,0,1,1,0,1,1
-5.1058,0.991777,0.157107,3,13,0,5.65803,0.570977,0.0621457,1.06412,0.592553,0.612255,0,1,1,0,1,0,0,1,1,1,1,1
-5.70453,0.995669,0.157107,4,15,0,6.07924,0.134511,0.0719032,1.07455,-0.594913,0.293491,0,0,0,0,1,1,0,1,1,1,1,0
-4.20066,0.999966,0.157107,4,15,0,5.93431,0.869299,0.351705,1.42149,0.231315,1.19941,0,0,0,1,1,1,0,0,0,0,1,1
-3.386,0.999678,0.157107,4,15,0,4.66124,0.466139,1.83469,6.2632,-0.368868,0.538608,1,0,0,1,0,1,1,0,0,0,1,0
-3.08557,1,0.157107,4,15,0,3.41485,0.593166,0.553244,1.73888,-0.5551,1.29066,1,1,1,0,0,1,0,0,1,1,1,0
-3.0272,0.999806,0.157107,3,7,0,3.16388,0.571577,0.590381,1.80468,0.574111,0.345218,0,1,1,1,1,0,0,0,0,1,0,1
-2.84253,0.997605,0.157107,3,15,0,3.76289,0.455689,1.17613,3.24179,0.455254,0.277775,1,1,0,0,1,0,0,1,0,0,1,1
-2.97848,0.99445,0.157107,3,11,0,3.24841,0.494024,0.617122,1.85359,1.11235,0.706664,0,0,1,0,1,1,1,1,1,0,1,1
-4.94819,0.982632,0.157107,3,15,0,6.6141,0.371665,0.0763913,1.07938,-0.222753,1.07192,1,0,0,0,1,1,0,1,0,0,0,1
-3.4539,0.999352,0.157107,4,15,0,5.1714,0.751793,0.475659,1.60907,0.587913,0.409113,1,0,1,1,1,1,0,0,1,0,0,1
