# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpgrDZRT/standata-75124c3124f4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061359-1-5736fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061359-1-70ed32.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1599.4,1,0.335967,3,7,0,1600.27,0.624246,0.0097383,1.00979,0.660061,0.98767,1655,2463,0.651184,0.732978,1627,1841,-0.0124443,0.00467599,0.999965,0.497596,0.502404,-1728.69
-1599.62,0.99631,0.335967,2,7,0,1599.67,0.658996,0.00757858,1.00761,0.679273,0.999286,1684,2499,0.659035,0.732552,1648,1799,-0.00891087,0.00303864,0.999986,0.498122,0.501878,-1729.45
-1599.82,0.996954,0.335967,3,7,0,1600.06,0.628555,0.03235,1.03288,0.718191,0.949365,1807,2367,0.652162,0.737474,1620,1858,-0.0119653,0.00444444,0.999969,0.49201,0.50799,-1720.77
-1599.88,0.91883,0.335967,2,3,0,1601.19,0.643622,0.0323703,1.0329,0.525256,0.999776,1321,2499,0.655572,0.737478,1633,1844,-0.0103818,0.00369984,0.999979,0.491992,0.508008,-1720.73
-1601.01,0.904132,0.335967,4,15,0,1601.83,0.569221,0.00115331,1.00115,0.580633,0.999749,1430,2499,0.638583,0.731285,1582,1827,-0.019602,0.00844413,0.999875,0.499717,0.500283,-1731.76
-1601.03,1,0.335967,1,1,0,1601.04,0.571338,0.00111791,1.00112,0.553704,0.996223,1415,2489,0.639072,0.731278,1624,1841,-0.019291,0.00826932,0.99988,0.499726,0.500274,-1731.78
-1601.44,0.999319,0.335967,3,7,0,1601.63,0.660929,0.000792982,1.00079,0.721671,0.972386,1800,2433,0.659469,0.731215,1623,1791,-0.00873613,0.00296217,0.999987,0.499803,0.500197,-1731.89
-1604.01,0.951419,0.335967,3,15,0,1605.48,0.861303,0.00114369,1.00114,0.693524,0.999832,1751,2498,0.702933,0.731284,1804,1851,-0.000318727,4.42064e-05,1,0.499714,0.500286,-1731.75
-1601.9,0.9975,0.335967,4,15,0,1605.86,0.534572,0.00051069,1.00051,0.533475,0.926026,1344,2292,0.630549,0.731159,1549,1789,-0.0250852,0.0116754,0.999745,0.499876,0.500124,-1731.99
-1602.52,0.994208,0.335967,2,3,0,1602.54,0.488926,0.000350175,1.00035,0.591982,0.998953,1453,2498,0.619853,0.731127,1536,1845,-0.0333565,0.0170476,0.999404,0.499915,0.500085,-1732.05
-1603.16,0.998699,0.335967,3,15,0,1604.22,0.566077,0.000127212,1.00013,0.569226,0.998966,1402,2497,0.637857,0.731084,1588,1822,-0.0200691,0.00870845,0.999866,0.499969,0.500031,-1732.13
-1601.58,0.996662,0.335967,3,7,0,1603.42,0.515302,0.000781167,1.00078,0.71737,0.999901,1813,2499,0.626049,0.731212,1575,1860,-0.0284412,0.0137854,0.999631,0.49981,0.50019,-1731.9
-1603.25,0.99979,0.335967,3,7,0,1603.46,0.659229,0.000123835,1.00012,0.517025,0.99395,1266,2483,0.659087,0.731083,1647,1841,-0.00888969,0.00302935,0.999986,0.499969,0.500031,-1732.13
-1602.08,0.991633,0.335967,3,7,0,1603.89,0.698125,0.000511564,1.00051,0.553745,0.60712,1381,1509,0.667772,0.731159,1668,1821,-0.00579754,0.00175013,0.999996,0.499873,0.500127,-1731.99
-1601.16,0.985739,0.335967,2,7,0,1604.36,0.640009,0.000995493,1.001,0.508365,0.924528,1261,2304,0.654755,0.731254,1636,1801,-0.0107486,0.00386942,0.999977,0.499754,0.500246,-1731.82
-1600.73,0.998997,0.335967,3,7,0,1601.31,0.665825,0.00175963,1.00176,0.544724,0.998971,1375,2495,0.660568,0.731405,1638,1844,-0.00830343,0.0027748,0.999988,0.499564,0.500436,-1731.54
-1600.14,0.995846,0.335967,4,15,0,1601.27,0.651159,0.0370209,1.03771,0.686736,0.98648,1685,2470,0.657272,0.738409,1637,1884,-0.00964268,0.00336376,0.999983,0.490835,0.509165,-1719.11
-1599.44,1,0.335967,3,7,0,1600.41,0.575103,0.0239993,1.02429,0.631298,0.999779,1604,2499,0.63994,0.735807,1563,1815,-0.0187448,0.00796463,0.99989,0.494114,0.505886,-1723.73
-1599.32,0.985311,0.335967,3,11,0,1600.11,0.612188,0.0174115,1.01756,0.702123,0.624482,1744,1554,0.64844,0.734498,1630,1814,-0.0138474,0.00537018,0.999953,0.495708,0.504292,-1725.99
-1599.43,0.996151,0.335967,4,15,0,1599.65,0.65472,0.0124517,1.01253,0.71978,0.633617,1770,1587,0.658073,0.733515,1630,1846,-0.00930553,0.00321301,0.999984,0.496916,0.503084,-1727.71
-1599.98,0.965948,0.335967,4,15,0,1601.78,0.484764,0.00649622,1.00652,0.538895,0.876016,1316,2169,0.618872,0.732338,1522,1854,-0.0341631,0.0176021,0.999359,0.498432,0.501568,-1729.9
-1600.82,0.984383,0.335967,3,7,0,1601.49,0.379387,0.0254479,1.02577,0.725485,0.999019,1803,2495,0.593725,0.736096,1494,1834,-0.0562882,0.0349332,0.996739,0.494017,0.505983,-1723.49
-1601.43,0.990366,0.335967,2,3,0,1601.49,0.334643,0.0225526,1.02281,0.714914,0.986627,1798,2466,0.582889,0.735519,1475,1834,-0.0656137,0.0436565,0.994159,0.494765,0.505235,-1724.52
-1600.38,0.974293,0.335967,3,7,0,1602.98,0.485745,0.00366038,1.00367,0.698018,0.92852,1722,2326,0.619104,0.731779,1518,1806,-0.0339721,0.0174703,0.99937,0.499117,0.500883,-1730.89
-1600.02,0.998664,0.335967,3,15,0,1600.68,0.633288,0.00358699,1.00359,0.519469,0.777144,1272,1972,0.653235,0.731765,1610,1829,-0.0114526,0.0041998,0.999972,0.499114,0.500886,-1730.89
